label,name,frames,mark,type
,01t,1386,1-1386,long
,02t,31779,1-31779,long
,03t,16276,1-11270-11420-16726,long
,04t,20964,90-20785,long
,05t,14025,230-480-648-1710-1974-3020-3190-3890-4070-6512-6700-7472-7609-8023-8227-8954-9786-11937-12090-10425,long
,06t,5294,149-1191-1273-3270-3360-4827,long
,07t,1358,1-1358,long
,08t,7760,80-7570,long
,11t,3370,1-3370,long
,15t,2688,1-2688,long
,16t,1200,1-1200,long
,17t,3260,1-3260,long
,19t,2059,1-840-983-2059,long
,21t,1664,1-540-720-1664,long
,22t,1543,1-1543,long
,23t,1996,114-599-710-1183-1481-1996,long
,24t,6991,1-4899-4955-5305-5980-6305,long
,25t,1457,1-1457,long
,26t,34881,110-11127-12412-16794-17892-20826-21724-24800-25720-30353-30859-32359-33471-34881,long
,27t,774,1-774,long
,29t,576,1-576,long
,30t,2064,1-2064,long
,01s,,,shortyes
,02s,,,shortyes
,03s,,,shortyes
,04s,,,shortyes
,05s,,,shortyes
,06s,,,shortyes
,07s,,,shortyes
,08s,,,shortyes
,09s,,,shortyes
,10s,,,shortyes
,11s,,,shortyes
,12s,,,shortyes
,13s,,,shortyes
,14s,,,shortyes
,15s,,,shortyes
,16s,,,shortyes
,17s,,,shortyes
,18s,,,shortyes
,19s,,,shortyes
,20s,,,shortyes
,21s,,,shortyes
,22s,,,shortyes
,23s,,,shortyes
,24s,,,shortyes
,25s,,,shortyes
,26s,,,shortyes
,27s,,,shortyes
,28s,,,shortyes
,29s,,,shortyes
,30s,,,shortyes
,31s,,,shortyes
,32s,,,shortyes
,33s,,,shortyes
,34s,,,shortyes
,35s,,,shortyes
,36s,,,shortyes
,37s,,,shortyes
,38s,,,shortyes
,39s,,,shortyes
,40s,,,shortyes
,41s,,,shortyes
,42s,,,shortyes
,43s,,,shortyes
,44s,,,shortyes
,45s,,,shortyes
,46s,,,shortyes
,47s,,,shortyes
,48s,,,shortyes
,49s,,,shortyes
,50s,,,shortyes
,51s,,,shortyes
,52s,,,shortyes
,53s,,,shortyes
,54s,,,shortyes
,01n,,,shortno
,02n,,,shortno
,03n,,,shortno
,04n,,,shortno
,05n,,,shortno
,06n,,,shortno
,07n,,,shortno
,08n,,,shortno
,09n,,,shortno
,10n,,,shortno
